no,total_mask_area,red_mask_area,green_mask_area,brown_mask_area
1,52662,26367,10297,15998
2,52560,26624,10218,15718
3,52724,26714,10300,15710
4,52662,26847,10321,15494
5,52698,26734,10357,15607
6,52768,26373,10456,15939
7,52785,26730,10502,15553
8,52767,26722,10479,15566
9,52625,26386,10423,15816
10,52637,27013,10474,15150
11,52763,26724,10505,15534
12,52673,26996,10567,15110
13,52666,26785,10498,15383
14,52827,26901,10509,15417
15,52790,26816,10606,15368
16,52959,27230,10604,15125
17,52959,26816,10642,15501
18,52992,26877,10625,15490
19,52957,26887,10716,15354
20,52834,27003,10626,15205
21,52698,26980,10518,15200
22,52869,27190,10601,15078
23,52876,26981,10637,15258
24,52875,26624,10701,15550
25,52895,27069,10670,15156
26,52927,26849,10612,15466
27,53092,26952,10746,15394
28,53018,27221,10750,15047
29,53218,27154,10726,15338
30,53180,27375,10630,15175
31,53037,27184,10675,15178
32,53382,27530,10680,15172
33,53327,27217,10744,15366
34,53446,27521,10714,15211
35,53463,27138,10643,15682
36,53579,27431,10667,15481
37,53502,27474,10760,15268
38,53825,27564,10717,15544
39,53712,27374,10720,15618
40,53891,27602,10746,15543
41,53987,27688,10742,15557
42,53847,27635,10759,15453
43,53918,27513,10838,15567
44,53872,27583,10855,15434
45,53965,27940,10774,15251
46,54078,28237,10782,15059
47,54159,28205,10876,15078
48,54256,28059,10918,15279
49,54293,27851,10818,15624
50,54326,28134,10977,15215
51,54429,27930,10933,15566
52,54324,27899,10836,15589
53,54650,28400,10833,15417
54,54688,28085,10873,15730
55,54750,28394,10864,15492
56,54714,28451,10865,15398
57,54737,28496,10854,15387
58,54848,28272,10850,15726
59,54851,28791,10777,15283
60,55053,28608,10835,15610
61,55013,28748,10834,15431
62,54947,28486,10771,15690
63,54881,28701,10838,15342
64,54989,28715,10851,15423
65,55081,28660,10809,15612
66,55029,28668,10857,15504
67,55072,28795,10820,15457
68,55279,28914,10844,15521
69,55273,29213,10767,15293
70,55374,29051,10885,15438
71,55373,29015,10901,15457
72,55371,28642,10784,15945
73,55391,28975,10875,15541
74,55394,29033,10804,15557
75,55417,28855,10902,15660
76,55558,29026,10906,15626
77,55538,29193,10864,15481
78,55527,29013,10806,15708
79,55506,29328,10799,15379
80,55710,29512,10768,15430
81,55624,29460,10855,15309
82,55610,29365,10835,15410
83,55635,29387,10743,15505
84,55695,29444,10775,15476
85,55681,29572,10836,15273
86,55842,29356,10786,15700
87,55937,29525,10743,15669
88,55879,29644,10818,15417
89,56020,29736,10733,15551
90,56026,29606,10894,15526
91,56117,29454,10870,15793
92,56071,29468,10793,15810
93,56132,29807,10768,15557
94,56179,29567,10831,15781
95,56204,29692,10741,15771
96,56129,29812,10841,15476
97,56187,29839,10797,15551
98,56185,30077,10778,15330
99,56122,30093,10696,15333
100,55894,30183,10662,15049
101,56272,29990,10619,15663
102,56262,30245,10701,15316
103,56068,29951,10778,15339
104,56323,29981,10684,15658
105,56244,29787,10623,15834
106,56321,29815,10695,15811
107,56326,29951,10752,15623
108,56272,30059,10652,15561
109,56251,29938,10737,15576
110,56062,30255,10575,15232
111,56274,29983,10768,15523
112,56467,30239,10711,15517
113,56329,29817,10677,15835
114,56287,29670,10750,15867
115,56363,29691,10662,16010
116,56281,29813,10681,15787
117,56117,29762,10675,15680
118,56288,29990,10607,15691
119,56107,29945,10613,15549
120,56278,29951,10718,15609
121,56150,29760,10569,15821
122,56149,29884,10728,15537
123,56174,29953,10674,15547
124,56506,29977,10638,15891
125,56442,30222,10663,15557
126,56471,30141,10689,15641
127,56399,30089,10641,15669
128,56345,29887,10717,15741
129,56277,29934,10691,15652
130,56240,30113,10661,15466
131,56233,29908,10595,15730
132,56098,29833,10652,15613
133,56258,29698,10636,15924
134,56192,29895,10574,15723
135,56220,29571,10591,16058
136,56097,29658,10566,15873
137,56163,29761,10564,15838
138,56241,29748,10580,15913
139,56136,29639,10592,15905
140,56150,29443,10496,16211
141,56194,29621,10620,15953
142,56111,29608,10466,16037
143,55961,29252,10392,16317
144,55705,29702,10315,15688
145,55821,29624,10343,15854
146,55864,29145,10376,16343
147,55971,29494,10400,16077
148,55881,29436,10438,16007
149,55823,29466,10415,15942
150,55766,29015,10342,16409
151,55712,29011,10375,16326
152,55570,29115,10383,16072
153,55683,28979,10466,16238
154,55780,29137,10444,16199
155,55561,29243,10330,15988
156,55521,28864,10338,16319
157,55430,28923,10247,16260
158,55219,28610,10217,16392
159,55224,28872,10217,16135
160,55162,28674,10170,16318
161,55180,28691,10166,16323
162,55165,28509,10186,16470
163,54966,28302,10145,16519
164,54993,28556,10270,16167
165,55011,28414,10216,16381
166,54980,28489,10158,16333
167,54942,28480,10058,16404
168,54799,28461,10121,16217
169,54607,28161,10064,16382
170,54501,28348,10004,16149
171,54476,28279,9984,16213
172,54503,28323,9970,16210
173,54246,28101,10017,16128
174,54121,28144,9933,16044
175,54182,28315,9907,15960
176,54207,28108,9957,16142
177,54060,28130,9931,15999
178,54009,27971,9818,16220
179,53808,28030,9763,16015
180,53832,27814,9659,16359
181,53758,27805,9703,16250
182,53777,27609,9693,16475
183,53595,27450,9701,16444
184,53497,27446,9669,16382
185,53487,27477,9584,16426
186,53392,27428,9589,16375
187,53290,27149,9539,16602
188,53267,27236,9494,16537
189,53006,27311,9513,16182
190,53044,27264,9424,16356
191,53171,27424,9331,16416
192,52972,27231,9269,16472
193,52962,27197,9209,16556
194,52933,27369,9251,16313
195,52766,27006,9223,16537
196,52707,27299,9193,16215
197,52657,26971,9087,16599
198,52634,27176,9175,16283
199,52755,27013,8983,16759
200,52736,27226,9057,16453
201,52627,27171,9122,16334
202,52667,27217,9131,16319
203,52448,27157,9095,16196
204,52501,26962,9034,16505
205,52525,27186,8976,16363
206,52553,27181,8885,16487
207,52473,27018,8884,16571
208,52564,26735,8859,16970
209,52762,27048,8957,16757
210,52718,27093,8957,16668
211,52689,26905,8961,16823
212,52713,27050,9043,16620
213,52589,27061,9145,16383
214,52798,27046,9100,16652
215,52681,26952,9144,16585
216,52718,27103,9111,16504
217,52793,27403,9133,16257
218,52776,27158,9148,16470
219,53059,27294,9176,16589
220,52926,27161,9183,16582
221,53068,27388,9234,16446
222,52879,27405,9301,16173
223,53139,27232,9277,16630
224,53153,27395,9382,16376
225,53128,27261,9308,16559
226,53207,27202,9300,16705
227,53357,27191,9308,16858
228,53236,27324,9354,16558
229,53231,27337,9441,16453
230,53349,27449,9502,16398
231,53616,27506,9671,16439
232,53424,27481,9736,16207
233,53467,27293,9792,16382
234,53461,27387,9744,16330
235,53498,27664,9685,16149
236,53628,27425,9763,16440
237,53774,27477,9715,16582
238,53495,27559,9695,16241
239,53797,27762,9756,16279
240,53538,27168,9879,16491
241,53662,27695,9931,16036
242,53578,27682,9848,16048
243,53720,27858,9917,15945
244,53759,27743,9793,16223
245,53946,27574,9872,16500
246,54015,27509,9921,16585
247,54043,27752,10045,16246
248,54061,27773,10045,16243
249,53970,27929,9959,16082
250,54069,27792,10011,16266
251,54304,27681,10021,16602
252,54037,27692,9970,16375
253,54338,28091,10020,16227
254,54149,27987,9989,16173
255,54131,27818,10129,16184
256,54169,27893,10064,16212
257,54114,27701,10110,16303
258,54201,27831,10127,16243
259,54106,27535,10119,16452
260,54039,27764,10117,16158
261,54287,27889,10190,16208
262,54353,27826,10164,16363
263,54254,27461,10211,16582
