sex,age,stu,school,video_name,total_avg,total_std,total_var,total_max,total_min,total_q25,total_q50,total_q75,red_avg,red_std,red_var,red_max,red_min,red_q25,red_q50,red_q75,green_avg,green_std,green_var,green_max,green_min,green_q25,green_q50,green_q75,brown_avg,brown_std,brown_var,brown_max,brown_min,brown_q25,brown_q50,brown_q75
0,3,0,TPH_Ruifang,0_3_0_C0185,45815.3783,2413.6369,5825642.9319,49862,41650,43703.0,45776.5,48165.25,5659.385,2534.6244,6424320.9401,9312,1784,3092.75,5747.5,8308.5,9078.6117,1114.5406,1242200.7475,10476,6815,8160.75,9545.0,10055.25,31077.3817,4252.5843,18084473.6327,37623,23852,26934.25,31864.0,35044.75
0,3,0,TPH_Ruifang,0_3_0_C0189,48618.0283,4525.9336,20484075.2442,55841,40771,45610.25,48143.5,52896.25,13812.9717,7558.5491,57131664.2275,28240,3879,7671.0,10982.5,20025.75,8871.1183,3055.4474,9335758.5743,14228,5110,5993.75,8107.0,11753.75,25933.9383,5137.1247,26390050.6079,34741,18488,20975.75,24985.0,31061.75
0,3,0,TPH_Ruifang,0_3_0_C0192,45779.9167,3739.7617,13985817.4264,52979,39737,42803.75,45207.0,48827.25,7177.3783,2156.1901,4649155.6752,12276,3604,5320.0,6963.0,8459.25,8421.1533,5455.3978,29761365.3265,17242,1863,3707.0,5839.5,14237.0,30181.385,3150.6028,9926298.0334,35916,25291,27294.25,29386.5,32833.0
0,3,1,TPH_Ruifang,0_3_1_C0184,43314.9183,1122.0753,1259052.9317,45373,41284,42239.5,43165.0,44409.0,31981.1333,5239.1159,27448335.2656,38918,22448,27324.0,33725.5,36397.75,2823.0033,613.0075,375778.1733,3742,1705,2316.75,2757.5,3412.25,8510.7817,4930.7992,24312781.1873,17411,3187,4218.75,6330.0,13281.25
0,4,0,TPH_Ruifang,0_4_0_C0067,59123.3217,7621.1206,58081478.8815,73048,48802,51942.25,58341.0,64993.25,30776.7567,6613.1101,43733224.5441,40268,22184,24095.25,30172.0,37992.25,10896.75,2036.0914,4145668.0708,14203,8146,8824.75,10373.0,13004.0,17449.815,2355.1597,5546777.4041,22956,12416,15973.0,17977.0,18555.75
0,4,0,TPH_Ruifang,0_4_0_C0069,53819.36,2917.5589,8512149.7637,61046,50635,51318.5,52438.0,55562.0,28608.1,1736.4591,3015290.0833,31893,25430,27210.25,28202.5,30320.25,11407.1483,1264.7151,1599504.1763,14223,9361,10195.5,11413.5,12549.25,13804.1117,1679.4059,2820404.0792,17428,10980,12518.5,13298.5,15273.25
0,4,0,TPH_Ruifang,0_4_0_C0075,46387.37,3473.558,12065605.1664,57910,41032,44453.25,45201.5,47376.25,12650.0667,4202.6498,17662265.1122,17450,3916,8053.5,14152.5,16222.75,5629.945,1785.6574,3188572.172,8051,1965,4199.75,6176.5,6992.75,28107.3583,6230.8987,38824099.1999,44288,20286,22572.0,26156.5,32584.5
0,4,0,TPH_Ruifang,0_4_0_C0181,45108.135,827.2948,684416.7068,47083,43299,44531.75,45037.0,45473.25,13484.7717,2347.1044,5508898.8962,19469,9616,11573.0,13494.0,14644.5,10773.0433,1070.9873,1147013.7215,12322,8696,9901.75,10832.5,11825.5,20850.32,2676.5352,7163840.7009,25941,14849,18984.5,20424.0,22938.5
0,4,0,TPH_Ruifang,0_4_0_C0183,55576.3217,2236.3716,5001357.7815,59343,51225,54032.75,55538.0,57096.75,37974.2867,5167.1582,26699523.8978,45872,26780,34245.75,38870.5,42281.5,9565.225,3724.2943,13870368.351,15954,5476,6394.5,7721.0,13226.25,8036.81,2019.9398,4080156.9739,11717,4111,6521.5,8216.5,9465.0
0,4,0,TPH_Ruifang,0_4_0_C0187,63542.0,5656.3265,31994029.2533,73928,55341,57979.0,63683.0,67564.0,31257.93,2225.7629,4954020.2984,35510,27781,29176.5,30734.0,33760.0,10624.5917,4542.2655,20632176.0416,18366,5391,6214.5,9306.0,14995.0,21659.4783,3259.2994,10623032.5895,26519,15501,18721.25,22005.5,24837.5
0,4,0,TPH_Ruifang,0_4_0_C0188,58860.2883,3937.3708,15502889.0519,65329,51804,54545.75,59549.5,61685.5,25078.2433,1792.7508,3213955.3375,28544,22100,23723.0,24692.5,26624.5,5881.88,989.943,979987.1823,7705,4468,5014.75,5585.5,6655.25,27900.165,3954.7071,15639707.9978,35178,21197,24562.75,27697.5,30970.5
0,4,0,TPH_Ruifang,0_4_0_C0190,44782.1883,861.8739,742826.5662,46912,43044,44075.75,44749.0,45310.75,26664.1617,3257.4107,10610724.2022,30730,19707,24496.75,27478.5,29298.0,10971.98,3110.1672,9673139.9063,16019,6183,8105.0,10631.0,14013.75,7146.0467,5240.9258,27467303.0445,16624,310,3144.5,4719.5,12239.0
0,4,0,TPH_Ruifang,0_4_0_C0222,52998.7967,1618.9129,2620879.042,55593,49518,51841.75,53077.0,54394.25,27018.3517,805.6527,649076.328,29223,25314,26427.25,26961.5,27686.0,9458.295,1126.1462,1268205.3246,11547,7521,8615.0,9247.5,10398.5,16522.15,1441.4343,2077732.8108,19136,13238,15722.75,16714.0,17569.0
0,4,0,TPH_Ruifang,0_4_0_C0224,51053.9483,2408.3163,5799987.6323,54445,45729,49147.0,51449.0,53350.25,21972.0317,2057.8512,4234751.7273,25151,17195,21277.5,22389.5,23521.75,14411.6383,2208.1754,4876038.4709,18165,11030,12734.25,13711.0,16865.25,14670.2783,912.3339,832353.1942,16897,13203,13907.75,14512.5,15240.25
0,4,0,TPH_Ruifang,0_4_0_C0225,59775.2417,2361.52,5576776.8099,64835,55728,57732.75,59725.0,61394.0,28437.88,1458.9639,2128575.5289,31756,25660,27535.75,28193.0,29096.75,13747.985,1152.042,1327200.8448,15704,11500,12790.0,13996.5,14700.75,17589.3767,1218.6289,1485056.4615,20325,13463,17184.5,17819.0,18246.25
0,4,1,TPH_Ruifang,0_4_1_C0074,57493.37,2672.0671,7139942.3298,62278,53059,54964.0,57171.0,59963.75,32075.2117,2279.2888,5195157.4869,36050,28969,30058.5,31286.0,34606.5,11619.0967,968.8166,938605.5507,13200,9723,10663.25,11932.5,12436.25,13799.0617,1789.9282,3203843.0079,17356,10213,12344.25,13715.5,15280.25
0,5,0,TPH_Ruifang,0_5_0_C0197,53556.76,1503.1044,2259322.7624,56498,50060,52868.0,53535.0,54344.5,26788.2583,1622.1911,2631503.8716,30288,24311,25313.0,26774.5,27838.0,10230.5533,521.1423,271589.3072,10924,8922,9827.0,10407.0,10668.25,16537.9483,923.4973,852847.3357,18714,15057,15880.0,16358.5,16825.5
0,5,0,TPH_Ruifang,0_5_0_C0213,59059.1517,1362.9652,1857674.242,61333,56185,57978.25,59322.0,60185.25,27595.9383,1133.3152,1284403.4445,30969,25184,26931.75,27367.0,28098.5,17072.4467,1259.1892,1585557.4938,19561,14034,16305.0,16994.0,17648.75,14390.7667,764.3905,584292.8922,16223,12772,13784.25,14201.0,14948.5
0,5,0,TPH_Ruifang,0_5_0_C0214,63588.1583,1476.1201,2178930.5699,66863,60233,62611.0,63314.5,64673.0,27034.585,2543.1692,6467709.6061,30878,22431,24364.75,28151.0,28787.0,16149.9467,2552.8957,6517276.3272,20239,10214,14285.25,15787.5,18434.25,20403.6267,762.6631,581655.0073,22239,18746,19809.75,20299.0,20945.75
0,5,0,TPH_Ruifang,0_5_0_C0216,54080.965,1824.0651,3327213.5304,58410,49485,52816.5,53796.5,54725.0,25326.8933,1711.6369,2929700.762,28832,20723,24068.25,25256.0,26629.0,15476.9733,1784.7087,3185185.0593,18636,12110,14003.75,15936.5,16802.0,13277.0983,1098.1091,1205843.6953,15490,10547,12446.0,13433.5,14218.0
0,5,0,TPH_Ruifang,0_5_0_C0217,49069.1783,2072.0528,4293402.7132,52796,45798,46926.5,48978.5,51112.0,22311.1467,2016.6741,4066974.3418,25410,18410,20582.75,22868.5,23844.75,12535.9133,1245.6465,1551635.1692,14479,9869,12010.0,12639.5,13458.5,14222.1183,958.4134,918556.161,16215,12003,13884.75,14272.5,14861.0
0,5,0,TPH_Ruifang,0_5_0_C0226,58458.33,1852.8245,3432958.5544,62769,55514,57212.25,57908.0,59381.5,29702.4033,1926.2157,3710307.0307,33167,26234,27879.5,29639.5,31383.25,10606.0717,1141.5326,1303096.7032,12373,8123,9765.25,10888.5,11186.75,18149.855,553.4591,306316.984,19847,16800,17734.75,18167.5,18576.75
0,5,0,TPH_Ruifang,0_5_0_C0227,67150.105,1109.8953,1231867.4806,69962,65259,66351.75,66962.5,67681.25,30201.08,1030.4096,1061743.9636,32845,27892,29553.75,30017.0,30949.0,13021.5867,1058.3123,1120024.9492,15535,11083,12341.0,13028.5,13711.0,23927.4383,1456.2283,2120600.7329,27291,20804,22769.0,23927.0,25068.0
0,6,0,TPH_Ruifang,0_6_0_C0198,69708.7383,4363.4442,19039645.5732,75853,60706,66405.0,70373.5,73735.5,29754.6333,2666.2413,7108842.4056,34135,23791,27765.75,30021.5,32015.25,17333.2483,2286.5021,5228091.8833,21583,12643,16193.0,17440.5,18751.25,22620.8567,1586.6858,2517571.7795,25468,19208,21310.0,22843.0,23977.75
0,6,0,TPH_Ruifang,0_6_0_C0205,61403.4283,2224.1241,4946728.1815,65592,57679,59772.0,60889.0,63653.25,31197.8533,770.6828,593951.9452,32676,29265,30790.0,31272.5,31794.0,9973.8683,1461.7348,2136668.691,12943,7784,8935.0,9859.5,10922.25,20231.7067,2034.1425,4137735.8873,23653,16539,18647.0,20105.0,22225.25
0,6,0,TPH_Ruifang,0_6_0_C0206,56753.7417,1192.8121,1422800.7483,59268,54332,55810.25,56592.0,57690.5,24168.885,2397.2188,5746658.0351,29024,20107,22563.25,24297.5,25876.0,12612.3667,1439.9309,2073400.9089,14824,9625,11900.5,12928.5,13715.5,19972.49,1516.1152,2298605.2266,22485,16447,19278.25,20173.0,21267.0
